Number,Peptide,Protein,Pmax,Kd,Rsquared,P value,MaxP,Points,Outlier 1,Outlier 2,Outlier 3,Run,Norm
Pep379,ErbB4-pY906,PIK3R1-C,97315.64538,43495.17111,0.782084161,0.004450519,13.6,12,-11.87,0,0,2,Baseline
Pep613,ErbB4-pY906,PIK3R1-C,99971.97,77848.51153,0.880613988,0.000344957,17.46,12,-12.97942801,0,0,3,TXN
Peptide613-1,ErbB4-pY906,PIK3R1-C,181.85,68.193394,0.971715666,1.36E-07,23.17,12,0,0,0,6,Baseline
Pep98,ErbB4-pY984-18mer,PIK3R1-C,99898.61,25182.1798,0.820483583,0.001076982,25.08,12,0,0,0,1,Baseline
Pep98,ErbB4-pY984-18mer,PIK3R1-C,23.00364244,10.37560242,0.312449837,0.322775184,9.74,12,0,0,0,2,Baseline
Pep98,ErbB4-pY984-18mer,PIK3R1-C,98233.82,199800.5416,0.167226409,0.603429721,11.18,12,0,0,0,3,Baseline
Pep295,ErbB4-Y1056,PIK3R1-C,99387.07,23620.62087,0.912492382,0.000230574,21.53,12,-2.145,-4.895,0,1,Baseline
Pep295,ErbB4-Y1056,PIK3R1-C,1.03E-06,85.56508465,0.135330171,0.728480622,1.165,12,-32.655,-29.905,-27.845,2,Baseline
Pep295,ErbB4-Y1056,PIK3R1-C,97223.52,71780.75883,0.616916557,0.057443355,17.35,12,13.35,-12.01,0,3,Baseline
Pep468,ErbB1-pY1016,PIK3R1-N,99999.88,4775.895764,0.990746783,2.49E-07,105.55,12,15.41,9.33,-2.39,1,Baseline
Pep468,ErbB1-pY1016,PIK3R1-N,106.2909014,1.196754031,0.991675969,2.53E-09,86.86,12,12.84,0,0,2,Baseline
Pep468,ErbB1-pY1016,PIK3R1-N,185.25,8.192683967,0.994284208,4.76E-11,100.71,12,0,0,0,3,Baseline
Pep469,ErbB1-pY1069,PIK3R1-N,0,104.3449135,0.072929814,0.85208554,4.64,12,-21.72,-17.56,-14.29,1,Baseline
Pep469,ErbB1-pY1069,PIK3R1-N,4.819402922,0.006372808,0.246518627,0.439878685,12.505,12,0,0,0,2,Baseline
Pep469,ErbB1-pY1069,PIK3R1-N,86.03,31.44704379,0.681105295,0.014743458,21.86,12,0,0,0,3,Baseline
Pep408,ErbB1-pY1092,PIK3R1-N,4.2,0.00047642,0.064116377,0.869829824,11.04,12,26.07,15.94,-6.88,1,Baseline
Pep408,ErbB1-pY1092,PIK3R1-N,5.290937373,-0.000495008,0.216438976,0.522673937,10.535,12,-10.715,0,0,2,Baseline
Pep408,ErbB1-pY1092,PIK3R1-N,99998.52,24962.91431,0.952201713,1.81E-06,41.73,12,0,0,0,3,Baseline
Pep471,ErbB1-pY1110,PIK3R1-N,8.69,0.347054897,0.59110693,0.042958502,10,12,0,0,0,1,Baseline
Pep471,ErbB1-pY1110,PIK3R1-N,8.92E-06,281.3682076,-0.613436673,0.044727952,8.215,12,14.015,0,0,2,Baseline
Pep471,ErbB1-pY1110,PIK3R1-N,3.51,1.008489778,0.140046824,0.681293535,7.99,12,-42.58,0,0,3,Baseline
Pep615,ErbB1-pY1125,PIK3R1-N,99148.74,39463.09801,0.725367579,0.011526503,28.42,12,12.175,0,0,3,Baseline
Pep473,ErbB1-pY1138,PIK3R1-N,513.95,42.42301507,0.977720926,2.08E-07,55.49,12,9.175,0,0,1,Baseline
Pep473,ErbB1-pY1138,PIK3R1-N,73.48146206,2.701193836,0.954405017,5.06E-06,46.175,12,13.725,0,0,2,Baseline
Pep473,ErbB1-pY1138,PIK3R1-N,1574.09,114.9823456,0.993100751,1.22E-10,126.62,12,0,0,0,3,Baseline
Pep508,ErbB1-pY1172,PIK3R1-N,42.09,2.811208696,0.881345349,0.001683994,28.23,12,11.755,11.675,11.555,1,Baseline
Pep508,ErbB1-pY1172,PIK3R1-N,118.5887605,11.72272099,0.922078572,5.38E-05,37.005,12,13.015,0,0,2,Baseline
Pep508,ErbB1-pY1172,PIK3R1-N,99982.28,19008.28322,0.883549915,0.000309751,56.99,12,-15.055,0,0,3,Baseline
Pep478,ErbB1-pY1197,PIK3R1-N,73.47,14.18675327,0.91706121,2.69E-05,19.93,12,0,0,0,1,Baseline
Pep478,ErbB1-pY1197,PIK3R1-N,4.59E-07,134.1758289,0.440828779,0.23496484,8.35,12,-25.49,-23.44,-21.09,2,Baseline
Pep478,ErbB1-pY1197,PIK3R1-N,65.9,14.85587726,0.827222437,0.001679043,24.31,12,-16.565,0,0,3,Baseline
Pep401,ErbB1-pY727,PIK3R1-N,98625.33,16406.37351,0.92487364,1.66E-05,31.36,12,0,0,0,1,Baseline
Pep509,ErbB1-pY727,PIK3R1-N,99986.51,28552.21344,0.81587718,0.0012124,19.12,12,0,0,0,1,Baseline
Pep401,ErbB1-pY727,PIK3R1-N,43.70728098,7.708705258,0.690919428,0.012846054,18.04,12,0,0,0,2,Baseline
Pep509,ErbB1-pY727,PIK3R1-N,2.505357232,0,-9.37E-17,1,11.21,12,0,0,0,2,Baseline
Pep401,ErbB1-pY727,PIK3R1-N,99951.71,33568.23819,0.896089759,0.000189007,34.1,12,-19.845,0,0,3,Baseline
Pep509,ErbB1-pY727,PIK3R1-N,99975.87,35254.62342,0.754949012,0.004533278,34.41,12,0,0,0,3,Baseline
Pep390,ErbB1-pY764,PIK3R1-N,171.91,2.629174066,0.995877453,1.08E-10,108.91,12,9.85,0,0,1,Baseline
Pep390,ErbB1-pY764,PIK3R1-N,98240.52618,87799.72069,0.155808415,0.647333979,10.57,12,15.13,0,0,2,Baseline
Pep390,ErbB1-pY764,PIK3R1-N,202.87,7.837687263,0.989028814,6.26E-08,111.5,12,-12.71,12.65,0,3,Baseline
Pep391,ErbB1-pY801,PIK3R1-N,81.69,3.469724402,0.974247985,3.98E-07,47.33,12,11.86,0,0,1,Baseline
Pep391,ErbB1-pY801,PIK3R1-N,99944.19597,22662.33255,0.865842608,0.00120157,26.235,12,22.285,12.205,0,2,Baseline
Pep391,ErbB1-pY801,PIK3R1-N,99999.85,10006.72856,0.990227358,6.91E-10,101.88,12,0,0,0,3,Baseline
Peptide698,ErbB1-pY801,PIK3R1-N,83.77,4.978547324,0.991358589,3.74E-10,54.9,12,0,0,0,5,TXN
Peptide698-1,ErbB1-pY801,PIK3R1-N,169.59,12.43140914,0.988217127,1.75E-09,75.81,12,0,0,0,6,Baseline
Pep619,ErbB1-pY813,PIK3R1-N,121.78,4.297565936,0.979017127,4.32E-06,88.51,12,22.22,17.67,15.91,3,Baseline
Pep413,ErbB1-pY827,PIK3R1-N,9.73,0.749788915,0.613786025,0.033759826,13.72,12,0,0,0,1,Baseline
Pep413,ErbB1-pY827,PIK3R1-N,90349.57834,44245.85152,0.422612418,0.195347748,12.38,12,12.97,0,0,2,Baseline
Pep413,ErbB1-pY827,PIK3R1-N,33.4,2.400440428,0.747728524,0.005172568,34.35,12,0,0,0,3,Baseline
Pep459,ErbB1-pY869,PIK3R1-N,95395.43,97081.5262,0.500807963,0.116620827,7.55,12,-15.505,0,0,1,Baseline
Pep459,ErbB1-pY869,PIK3R1-N,1501.023849,20561.47345,0.031881555,0.925861015,6.56,12,11.78,0,0,2,Baseline
Pep459,ErbB1-pY869,PIK3R1-N,99974.17,44227.46417,0.827383946,0.000896279,22.89,12,0,0,0,3,Baseline
Pep618,ErbB1-pY891,PIK3R1-N,99996.37,28814.10114,0.882006651,0.000147286,37.7,12,0,0,0,3,Baseline
Pep415,ErbB1-pY900,PIK3R1-N,6.79,0.060416077,0.607174192,0.047582243,9.37,12,14.07,0,0,1,Baseline
Pep415,ErbB1-pY900,PIK3R1-N,6.141874351,0.00265878,0.246454527,0.465050983,12.31,12,-14.38,0,0,2,Baseline
Pep415,ErbB1-pY900,PIK3R1-N,99999.75,26530.27359,0.866893196,0.000551345,44.56,12,-6.778112066,0,0,3,TXN
Peptide415_1-1,ErbB1-pY900,PIK3R1-N,95760.17,209703.6468,0.703243125,0.01072693,6.93,12,0,0,0,6,Baseline
Peptide415-1,ErbB1-pY900,PIK3R1-N,98751.83,63318.73946,0.619060817,0.031841368,16.75,12,0,0,0,6,TXN
Pep460,ErbB1-pY915,PIK3R1-N,2.35,-1.022726669,0.738679976,0.009414063,12.44,12,9.965,0,0,1,Baseline
Pep460,ErbB1-pY915,PIK3R1-N,99415.6516,23983.73539,0.804080447,0.00899608,20.965,12,15.805,-10.875,-7.645,2,Baseline
Pep460,ErbB1-pY915,PIK3R1-N,100000,32037.7722,0.804947381,0.001586159,36.76,12,0,0,0,3,Baseline
Pep636,ErbB1-pY944,PIK3R1-N,94.04,0.081056396,0.994290905,4.62E-09,92.87,12,62.58666725,21.88413836,0,3,TXN
Peptide699,ErbB1-pY978,PIK3R1-N,99327.75,79782.06458,0.870811834,0.000227241,13.6,12,0,0,0,5,Baseline
Pep502,ErbB1-pY998,PIK3R1-N,366.04,85.64358639,0.885831284,0.000125749,20.24,12,0,0,0,1,Baseline
Pep502,ErbB1-pY998,PIK3R1-N,3.830734808,0,1.14E-16,1,14.74,12,0,0,0,2,Baseline
Pep502,ErbB1-pY998,PIK3R1-N,99854.85,32327.22488,0.821703403,0.001043157,36.36,12,0,0,0,3,Baseline
Pep200,ErbB2-pY1005,PIK3R1-N,99983.38,18014.28275,0.904671439,5.27E-05,28.8,12,0,0,0,1,Baseline
Pep200,ErbB2-pY1005,PIK3R1-N,18.87858508,1.070533098,0.672557463,0.016557763,18.135,12,0,0,0,2,Baseline
Pep200,ErbB2-pY1005,PIK3R1-N,37.74,10.4905726,0.662678413,0.018853118,17.15,12,0,0,0,3,Baseline
Pep475,ErbB2-pY1023,PIK3R1-N,230.81,15.06444393,0.978652807,8.85E-07,56.41,12,15.655,11.785,0,1,Baseline
Pep475,ErbB2-pY1023,PIK3R1-N,7.230797339,-0.001064647,0.419088726,0.199494487,14.985,12,41.475,0,0,2,Baseline
Pep475,ErbB2-pY1023,PIK3R1-N,200.1,16.55619268,0.971240377,2.89E-06,77.91,12,21.615,-3.215,0,3,Baseline
Pep261,ErbB2-pY1112,PIK3R1-N,54.6,5.990122347,0.946640962,1.01E-05,24.95,12,10.915,0,0,1,Baseline
Pep261,ErbB2-pY1112,PIK3R1-N,7.44E-09,134.8008912,-0.650670213,0.030158182,9.025,12,14.695,0,0,2,Baseline
Pep261,ErbB2-pY1112,PIK3R1-N,97643.75,249726.4085,0.179673658,0.597060145,10.07,12,14.44,0,0,3,Baseline
Peptide702,ErbB2-pY1112,PIK3R1-N,235.97,116.8464746,0.870361076,0.000231051,18.12,12,0,0,0,5,Baseline
Pep202,ErbB2-pY1127,PIK3R1-N,134.5,2.286157011,0.997267386,1.19E-12,90.91,12,0,0,0,1,Baseline
Pep202,ErbB2-pY1127,PIK3R1-N,105.5617802,1.49077915,0.982482773,7.11E-08,77.145,12,12.475,0,0,2,Baseline
Pep202,ErbB2-pY1127,PIK3R1-N,129.99,3.119798238,0.993738849,7.50E-11,95.54,12,0,0,0,3,Baseline
Pep202,ErbB2-pY1127,PIK3R1-N,275.3,14.8879422,0.972414566,1.12E-05,107.73,12,-13.91,-16.04,-15.64,3,Baseline
Pep441,ErbB2-pY1139,PIK3R1-N,0,104.7276514,-0.643906748,0.061273201,4.97,12,-22.145,-20.085,-19.025,1,Baseline
Pep441,ErbB2-pY1139,PIK3R1-N,99969.84279,12120.79532,0.945252103,3.53E-06,41.28,12,0,0,0,2,Baseline
Pep611,ErbB2-pY1139,PIK3R1-N,203.13,25.16625275,0.97337718,1.01E-07,59.1,12,0,0,0,3,Baseline
Peptide703,ErbB2-pY1139,PIK3R1-N,125.35,19.18195948,0.961586548,6.18E-07,43.03,12,0,0,0,5,Baseline
Pep193,ErbB2-pY1139-18mer,PIK3R1-N,99993.34,15123.07065,0.939441797,5.79E-06,33.2,12,0,0,0,1,Baseline
Pep193,ErbB2-pY1139-18mer,PIK3R1-N,15.76568854,0.653450668,0.472258195,0.142449599,18.085,12,13.435,0,0,2,Baseline
Pep193,ErbB2-pY1139-18mer,PIK3R1-N,99967.03,24858.75035,0.864399,0.001251847,41.85,12,15.665,13.275,0,3,Baseline
Pep193,ErbB2-pY1139-18mer,PIK3R1-N,99989.57,42868.8866,0.79801824,0.003241593,29.27,12,-13.17,0,0,3,Baseline
Peptide193-1,ErbB2-pY1139-18mer,PIK3R1-N,70.91,7.998460559,0.972614741,1.16E-07,40.68,12,0,0,0,6,Baseline
Pep479,ErbB2-pY1196,PIK3R1-N,109.06,11.20220225,0.942545402,4.48E-06,33.2,12,0,0,0,1,Baseline
Pep479,ErbB2-pY1196,PIK3R1-N,46244.94976,12967.91881,0.498818202,0.11831484,16.82,12,-17.96,0,0,2,Baseline
Pep479,ErbB2-pY1196,PIK3R1-N,99.86,13.43417816,0.917541062,0.000488684,45.27,12,17.165,16.175,15.665,3,Baseline
Pep480,ErbB2-pY1221,PIK3R1-N,60.7,4.086020674,0.953317291,5.61E-06,33.22,12,9.575,0,0,1,Baseline
Pep480,ErbB2-pY1221,PIK3R1-N,99923.5287,9982.486788,0.953454269,1.94E-05,51.005,12,11.815,11.705,0,2,Baseline
Pep480,ErbB2-pY1221,PIK3R1-N,100000,13555.99092,0.975312684,6.93E-08,75.66,12,0,0,0,3,Baseline
Pep481,ErbB2-pY1222,PIK3R1-N,125.05,6.050891209,0.98722284,2.63E-09,55.86,12,0,0,0,1,Baseline
Pep481,ErbB2-pY1222,PIK3R1-N,8.077610464,-0.000157254,0.053388235,0.883545545,12.465,12,-38.135,-15.595,0,2,Baseline
Pep481,ErbB2-pY1222,PIK3R1-N,236.21,15.29431254,0.990058609,7.52E-10,94.19,12,0,0,0,3,Baseline
Pep482,ErbB2-pY1248,PIK3R1-N,279.19,43.50454193,0.95682226,3.97E-06,29.67,12,10.99,0,0,1,Baseline
Pep482,ErbB2-pY1248,PIK3R1-N,191.7044097,31.97068681,0.703587392,0.023180677,24.335,12,13.425,12.315,0,2,Baseline
Pep482,ErbB2-pY1248,PIK3R1-N,99999.49,20229.94479,0.975228669,7.05E-08,53.69,12,0,0,0,3,Baseline
Pep367,ErbB2-pY685,PIK3R1-N,31.74,1.691395066,0.829245116,0.000851812,23.07,12,0,0,0,1,Baseline
Pep367,ErbB2-pY685,PIK3R1-N,54.47313486,2.510823816,0.974650921,1.75E-06,37.645,12,12.965,11.735,0,2,Baseline
Pep367,ErbB2-pY685,PIK3R1-N,97739.88,161134.1545,0.196037808,0.541444299,8.34,12,0,0,0,3,Baseline
Pep258,ErbB2-pY735,PIK3R1-N,99908.14,33014.56994,0.796165926,0.00336786,17.86,12,8.84,0,0,1,Baseline
Pep258,ErbB2-pY735,PIK3R1-N,12.00087298,1.385152021,0.40930391,0.186419658,11.525,12,0,0,0,2,Baseline
Pep258,ErbB2-pY735,PIK3R1-N,6.1,-0.004566259,0.425405798,0.192097611,11.9,12,29.48,0,0,3,Baseline
Pep263,ErbB2-pY772,PIK3R1-N,140.04,3.302353465,0.991057117,4.44E-10,84.3,12,0,0,0,1,Baseline
Pep263,ErbB2-pY772,PIK3R1-N,198.5412427,10.7730846,0.984171984,7.62E-09,61.62,12,0,0,0,2,Baseline
Pep263,ErbB2-pY772,PIK3R1-N,159.3,5.241727377,0.993902376,6.00E-09,105.45,12,17.075,16.965,0,3,Baseline
Pep198,ErbB2-pY781,PIK3R1-N,99322.65,22294.55696,0.952424982,6.11E-06,22.14,12,-9.415,0,0,1,Baseline
Pep198,ErbB2-pY781,PIK3R1-N,99856.21693,20197.83955,0.879142855,0.000363699,26.32,12,12.12,0,0,2,Baseline
Pep198,ErbB2-pY781,PIK3R1-N,99963.31,27510.69283,0.936087867,7.54E-06,36.97,12,0,0,0,3,Baseline
Peptide700,ErbB2-pY781,PIK3R1-N,99948.21,88046.35062,0.781408415,0.002687063,13.7,12,0,0,0,5,Baseline
Pep199,ErbB2-pY803,PIK3R1-N,225.48,41.14780282,0.934418689,8.55E-06,23.9,12,0,0,0,1,Baseline
Pep199,ErbB2-pY803,PIK3R1-N,91.56561855,7.312028798,0.880597501,0.001720129,39.215,12,15.665,12.855,11.745,2,Baseline
Pep199,ErbB2-pY803,PIK3R1-N,99984.59,26901.14627,0.909154022,4.18E-05,39.56,12,0,0,0,3,Baseline
Peptide701,ErbB2-pY803,PIK3R1-N,131.93,30.98121091,0.980560412,2.12E-08,31.85,12,0,0,0,5,Baseline
Peptide701,ErbB2-pY803,PIK3R1-N,531.61,124.1896278,0.986710537,3.19E-09,39.38,12,0,0,0,5,Baseline
Pep394,ErbB2-pY835,PIK3R1-N,99998.35,26991.49169,0.93111797,1.09E-05,20.5,12,0,0,0,1,Baseline
Pep394,ErbB2-pY835,PIK3R1-N,149.0687002,2.500019793,0.992329363,1.76E-09,102.425,12,-11.555,0,0,2,Baseline
Pep394,ErbB2-pY835,PIK3R1-N,84.07,79.2458433,0.545596665,0.082554857,8.77,12,-14.85,0,0,3,Baseline
Pep395,ErbB2-pY877,PIK3R1-N,0,140.9784116,-0.783616444,0.004321716,8.54,12,9.865,0,0,1,Baseline
Pep395,ErbB2-pY877,PIK3R1-N,64.84,3.171996956,0.930941206,1.10E-05,41.44,12,0,0,0,2,TXN
Pep395,ErbB2-pY877,PIK3R1-N,99897.54,33143.81448,0.930608707,1.13E-05,31.26,12,0,0,0,3,Baseline
Peptide395-1,ErbB2-pY877,PIK3R1-N,11.18,0.000659455,0.099237524,0.758961132,18.32,12,0,0,0,6,TXN
Pep476,ErbB3-pY1054,PIK3R1-N,89.72,1.160596849,0.998101665,3.30E-12,74.06,12,10.695,0,0,1,Baseline
Pep476,ErbB3-pY1054,PIK3R1-N,66.24831798,0.901361117,0.96764707,4.61E-06,61.98,12,-11.97,-11.9,0,2,Baseline
Pep476,ErbB3-pY1054,PIK3R1-N,82.07,3.343090014,0.968155203,1.03E-06,64.11,12,16.39,0,0,3,Baseline
Pep249,ErbB3-pY1132,PIK3R1-N,7.39,0.189065048,0.509541347,0.090612997,9.28,12,0,0,0,1,Baseline
Pep249,ErbB3-pY1132,PIK3R1-N,97829.98375,111148.9178,0.142236085,0.695077258,10.63,12,16.84,12.61,0,2,Baseline
Pep249,ErbB3-pY1132,PIK3R1-N,99999.97,150675.7706,0.525359736,0.079419974,9.39,12,0,0,0,3,Baseline
Peptide133,ErbB3-pY1132-18mer,PIK3R1-N,53.9,4.428790312,0.903386546,0.000338741,35.36,12,14.44,13.95,0,3,Baseline
Pep250,ErbB3-pY1159,PIK3R1-N,166.83,2.71220547,0.990213605,5.24E-09,104.98,12,10.31,0,0,1,Baseline
Pep250,ErbB3-pY1159,PIK3R1-N,117.5387234,1.467828362,0.993118566,1.08E-09,93.565,12,-5.795,0,0,2,Baseline
Pep250,ErbB3-pY1159,PIK3R1-N,136.66,3.279806207,0.99247737,1.61E-09,105.12,12,-6.795,0,0,3,Baseline
Peptide250-1,ErbB3-pY1159,PIK3R1-N,110.31,1.417827397,0.993153299,1.17E-10,96.08,12,0,0,0,6,Baseline
Pep212,ErbB3-pY1159-18mer,PIK3R1-N,89.75,0.706624014,0.996920015,3.92E-10,77.91,12,-19.785,-23.525,0,1,Baseline
Pep212,ErbB3-pY1159-18mer,PIK3R1-N,101.8955265,0.479168695,0.993759189,7.38E-11,97.755,12,0,0,0,2,Baseline
Pep212,ErbB3-pY1159-18mer,PIK3R1-N,74.59,0.473652639,0.989666447,9.12E-10,75.15,12,0,0,0,3,Baseline
Peptide212-1,ErbB3-pY1159-18mer,PIK3R1-N,78.61,0.551529781,0.994857675,2.81E-11,76.13,12,0,0,0,6,Baseline
Pep409,ErbB3-pY1197,PIK3R1-N,98.23,0.536706098,0.99121189,3.23E-09,81.42,12,-0.68,0,0,1,Baseline
Pep409,ErbB3-pY1197,PIK3R1-N,99772.98752,18315.30926,0.804941185,0.001586393,28.275,12,0,0,0,2,Baseline
Pep409,ErbB3-pY1197,PIK3R1-N,173.65,11.59719806,0.979896906,2.50E-08,80.72,12,0,0,0,3,Baseline
Pep616,ErbB3-pY1199,PIK3R1-N,99955.08,35895.12338,0.899570907,6.78E-05,28.71,12,0,0,0,3,Baseline
Pep483,ErbB3-pY1222,PIK3R1-N,115.19,0.499828173,0.990899659,4.84E-10,110.08,12,0,0,0,1,Baseline
Pep483,ErbB3-pY1222,PIK3R1-N,97.40602816,0.346051944,0.994418604,4.22E-09,93.005,12,-17.705,8.185,0,2,Baseline
Pep483,ErbB3-pY1222,PIK3R1-N,122.19,1.786237518,0.9847521,6.33E-09,109.81,12,0,0,0,3,Baseline
Pep484,ErbB3-pY1224,PIK3R1-N,134.58,4.407686208,0.993846919,6.52E-10,71.03,12,9.43,0,0,1,Baseline
Pep484,ErbB3-pY1224,PIK3R1-N,94.67915666,3.286614247,0.968696155,4.05E-06,55.09,12,14.56,11.7,0,2,Baseline
Pep484,ErbB3-pY1224,PIK3R1-N,100000,8409.364878,0.99127734,3.92E-10,119.28,12,0,0,0,3,Baseline
Pep485,ErbB3-pY1260,PIK3R1-N,76.63,0.169726651,0.986870667,1.96E-08,75.58,12,14.19,0,0,1,Baseline
Pep485,ErbB3-pY1260,PIK3R1-N,91.7366624,0.277403861,0.993733659,7.53E-11,89.415,12,0,0,0,2,Baseline
Pep485,ErbB3-pY1260,PIK3R1-N,65.57,0.98079083,0.954170354,1.47E-06,61.95,12,0,0,0,3,Baseline
Pep495,ErbB3-pY1262,PIK3R1-N,150.55,17.73769639,0.949927868,7.66E-06,32.59,12,14.55,0,0,1,Baseline
Pep495,ErbB3-pY1262,PIK3R1-N,123.0720288,8.98589975,0.96201615,5.84E-07,43.77,12,0,0,0,2,Baseline
Pep495,ErbB3-pY1262,PIK3R1-N,100000,13718.56763,0.966039113,3.36E-07,76.98,12,0,0,0,3,Baseline
Pep505,ErbB3-pY1276,PIK3R1-N,228.34,13.47718274,0.966552968,1.28E-06,34.69,12,-16.595,0,0,1,Baseline
Pep505,ErbB3-pY1276,PIK3R1-N,63.21725428,1.65805426,0.980788258,2.00E-08,49.945,12,0,0,0,2,Baseline
Pep505,ErbB3-pY1276,PIK3R1-N,56.1,2.865066677,0.961623507,6.15E-07,42.8,12,0,0,0,3,Baseline
Pep498,ErbB3-pY1289,PIK3R1-N,97.7,0.232728328,0.992461828,1.62E-09,96.89,12,37.975,0,0,1,Baseline
Pep498,ErbB3-pY1289,PIK3R1-N,94.60864796,0.118184407,0.991104332,4.32E-10,92.21,12,0,0,0,2,Baseline
Pep498,ErbB3-pY1289,PIK3R1-N,103.65,0.402366595,0.995730659,1.26E-10,99.3,12,-22.295,0,0,3,Baseline
Pep251,ErbB3-pY1307,PIK3R1-N,143.21,1.567260754,0.995746513,1.09E-11,110.85,12,0,0,0,1,Baseline
Pep251,ErbB3-pY1307,PIK3R1-N,122.8796453,1.12136118,0.989271449,1.10E-09,103.35,12,0,0,0,2,Baseline
Pep251,ErbB3-pY1307,PIK3R1-N,132.78,2.841010434,0.964346301,2.72E-05,99.32,12,-4.015,29.055,18.455,3,Baseline
Pep506,ErbB3-pY1328,PIK3R1-N,386.18,59.74784853,0.917752988,2.58E-05,30.04,12,0,0,0,1,Baseline
Pep506,ErbB3-pY1328,PIK3R1-N,99199.16939,67652.0651,0.221287001,0.513168504,9.13,12,13.88,0,0,2,Baseline
Pep506,ErbB3-pY1328,PIK3R1-N,196.33,57.06705269,0.777872008,0.002892917,29.15,12,0,0,0,3,Baseline
Pep494,ErbB3-pY665,PIK3R1-N,10.46,3.691501189,0.356725807,0.255020017,6.44,12,0,0,0,1,Baseline
Pep494,ErbB3-pY665,PIK3R1-N,17.8987946,3.500233404,0.515073173,0.127620821,9.795,12,20.615,12.365,0,2,Baseline
Pep494,ErbB3-pY665,PIK3R1-N,424.48,150.137832,0.797259427,0.005740849,28.03,12,13.42,12.66,0,3,Baseline
Pep494,ErbB3-pY665,PIK3R1-N,0,214.6590488,-0.155299072,0.66835862,8.96,12,11.82677922,11.47163557,0,3,TXN
Peptide494-1,ErbB3-pY665,PIK3R1-N,64.3,253.6737963,0.435906993,0.156613973,3.59,12,0,0,0,6,Baseline
Pep209,ErbB3-pY665-18mer,PIK3R1-N,65.85,5.633330684,0.936710529,6.50E-05,32.5,12,-10.51,-10.5,0,1,Baseline
Pep209,ErbB3-pY665-18mer,PIK3R1-N,99898.6906,25364.17578,0.798930852,0.003180691,21.32,12,14.85,0,0,2,Baseline
Pep209,ErbB3-pY665-18mer,PIK3R1-N,43.13,8.713044014,0.898110539,7.27E-05,22.6,12,0,0,0,3,Baseline
Pep534,ErbB3-pY680,PIK3R1-N,154.89,54.27564494,0.7610971,0.010558726,13.32,12,13.45,9.31,0,1,Baseline
Pep534,ErbB3-pY680,PIK3R1-N,0.917299429,-0.00759573,0.047482326,0.889741488,10.17,12,14.12,0,0,2,Baseline
Pep534,ErbB3-pY680,PIK3R1-N,1479.56,1400.778668,0.589197217,0.043806346,9.8,12,0,0,0,3,Baseline
Pep163,ErbB3-pY680-18mer,PIK3R1-N,99737.59,26584.56624,0.823206868,0.0010026,20.37,12,0,0,0,1,Baseline
Pep163,ErbB3-pY680-18mer,PIK3R1-N,4.567718526,-0.001177606,0.369023472,0.264063241,9.7,12,-13.21,0,0,2,Baseline
Pep163,ErbB3-pY680-18mer,PIK3R1-N,97710.12,201710.0381,0.181322809,0.593640858,11.18,12,12.77,0,0,3,Baseline
Pep257,ErbB3-pY789,PIK3R1-N,99936.97,26035.4813,0.883457436,0.000138802,19.11,12,0,0,0,1,Baseline
Pep257,ErbB3-pY789,PIK3R1-N,41.12236863,1.6775845,0.93897155,5.64E-05,29.38,12,18.66,18.48,0,2,Baseline
Pep257,ErbB3-pY789,PIK3R1-N,99999.12,19028.09239,0.924060276,4.80E-05,54.66,12,1.64,0,0,3,Baseline
Pep392,ErbB3-pY823,PIK3R1-N,4.76,0.003455248,0.344603862,0.329498775,8.1,12,12.695,-11.335,0,1,Baseline
Pep392,ErbB3-pY823,PIK3R1-N,2.63E-10,103.891323,-0.367629659,0.266011356,6.985,12,-15.575,0,0,2,Baseline
Pep392,ErbB3-pY823,PIK3R1-N,96.1,1.00873865,0.986512087,9.26E-07,92.41,12,18.96,14.2,16.58,3,Baseline
Pep393,ErbB3-pY824,PIK3R1-N,11.09,0.991484575,0.485803818,0.154587313,6.04,12,25.15,-11.1,0,1,Baseline
Pep393,ErbB3-pY824,PIK3R1-N,185.2461525,30.70639382,0.808845326,0.002572451,25.88,12,11.14,0,0,2,Baseline
Pep393,ErbB3-pY824,PIK3R1-N,99972.91,23973.21088,0.916298023,7.36E-05,43.72,12,15.425,0,0,3,Baseline
Pep461,ErbB3-pY868,PIK3R1-N,3488.63,20627.00283,0.439143766,0.176590718,4.73,12,-12.97,0,0,1,Baseline
Pep461,ErbB3-pY868,PIK3R1-N,95797.98982,87787.06275,0.377576463,0.252286476,9.53,12,12.54,0,0,2,Baseline
Pep461,ErbB3-pY868,PIK3R1-N,99999.96,31834.61864,0.855648416,0.000385395,36.72,12,0,0,0,3,Baseline
Pep535,ErbB3-pY912,PIK3R1-N,7.86,0.000186363,0.04783824,0.888919415,16.02,12,-6.175,0,0,1,Baseline
Pep535,ErbB3-pY912,PIK3R1-N,2.200140576,0,,,7.565,12,0,0,0,2,Baseline
Pep535,ErbB3-pY912,PIK3R1-N,36.54,7.911939635,0.932560007,9.80E-06,20.39,12,0,0,0,3,Baseline
Pep133,ErbB3-pY912-18mer,PIK3R1-N,99987.83,50209.98373,0.808575886,0.002587733,11.42,12,-11.855,0,0,1,Baseline
Pep133,ErbB3-pY912-18mer,PIK3R1-N,4.362509003,-0.003537928,0.613471498,0.044712419,15.675,12,16.725,0,0,2,Baseline
Pep133,ErbB3-pY912-18mer,PIK3R1-N,99996.96,65547.17226,0.399488412,0.286779495,18.51,12,21.53,18.45,12.46,3,Baseline
